Global Rank,Institution,Country,Sector
151,Xi'an Jiaotong University *,CHN,Universities
152,Children's Hospital Boston  *,USA,Health
153,Aarhus University *,DNK,Universities
154,Northwestern Medicine,USA,Health
155,Zhengzhou University *,CHN,Universities
156,Tongji University *,CHN,Universities
157,West China Hospital,CHN,Health
158,The University of Manchester *,GBR,Universities
159,IBM United States,USA,Companies
160,National Center for Biotechnology Information,USA,Government
161,Ministry of Agriculture,CHN,Government
162,Tel Aviv University,ISR,Universities
163,Universite Paris-Saclay *,FRA,Universities
164,The Chinese University of Hong Kong *,HKG,Universities
165,University of Michigan Health System,USA,Health
166,Universitat de Barcelona *,ESP,Universities
167,University of Miami *,USA,Universities
168,Wistar Institute,USA,Health
169,Nanjing Medical University *,CHN,Universities
170,Oregon Health & Science University *,USA,Universities
171,Wuhan University *,CHN,Universities
172,Beth Israel Deaconess Medical Center,USA,Health
173,University of Tokyo *,JPN,Universities
174,Southern Medical University *,CHN,Universities
175,Regeneron Pharmaceuticals Inc *,USA,Companies
176,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
177,Universita degli Studi di Napoli Federico II,ITA,Universities
178,CareGroup Healthcare System *,USA,Health
179,Universitat Zurich,CHE,Universities
180,The University of Hong Kong *,HKG,Universities
181,Consiglio Nazionale delle Ricerche *,ITA,Government
182,National Library of Medicine,USA,Health
183,Case Western Reserve University,USA,Universities
184,University of Pittsburgh Medical Center  *,USA,Health
185,Ludwig Institute for Cancer Research *,USA,Health
186,Chinese Academy of Agricultural Sciences *,CHN,Government
187,UC San Diego Health System,USA,Health
188,University of Alberta,CAN,Universities
189,Universitat Hamburg *,DEU,Universities
190,Ohio State University Wexner Medical Center,USA,Health
191,Scripps Research Institute,USA,Health
192,IBM Research *,MUL,Companies
193,Karolinska University Hospital,SWE,Health
194,Cold Spring Harbor Laboratory,USA,Health
195,"Soochow University, Suzhou *",CHN,Universities
196,London School of Hygiene and Tropical Medicine,GBR,Universities
197,Singapore Immunology Network,SGP,Government
198,Alphabet Inc *,MUL,Companies
199,Boston University Medical Campus ,USA,Health
200,AstraZeneca *,MUL,Companies
201,Max Planck Gesellschaft *,DEU,Government
202,"University of Maryland, Baltimore",USA,Universities
203,University of Glasgow *,GBR,Universities
204,Universita degli Studi di Padova,ITA,Universities
205,"Rutgers, The State University of New Jersey",USA,Universities
206,Pennsylvania State University *,USA,Universities
207,Brown University,USA,Universities
208,University of Pittsburgh Health Sciences,USA,Universities
209,Universitat Autonoma de Barcelona *,ESP,Universities
210,University of Athens,GRC,Universities
211,Fred Hutchinson Cancer Research Center *,USA,Health
212,"Google Inc, USA",USA,Companies
213,"Ragon Institute of MGH, MIT and Harvard",USA,Health
214,University of Iowa *,USA,Universities
215,South China University of Technology,CHN,Universities
216,Universitatsklinikum Hamburg Eppendorf,DEU,Health
217,Children's Hospital of Philadelphia,USA,Health
218,World Health Organization *,MUL,Health
219,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
220,Hospital Clinic de Barcelona,ESP,Health
221,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government
222,Technische Universitat Munchen *,DEU,Universities
223,Jiangnan University *,CHN,Universities
224,"University of California, Irvine *",USA,Universities
225,University of Virginia *,USA,Universities
226,Vall d’Hebron Instituto de Oncologia,ESP,Health
227,University of Oslo,NOR,Universities
228,All India Institute of Medical Sciences,IND,Universities
229,"Newcastle University, Newcastle upon Tyne",GBR,Universities
229,Microsoft Corp *,MUL,Companies
231,Universitat Heidelberg,DEU,Universities
232,Institute for Health Metrics and Evaluation,USA,Health
233,German Cancer Consortium,DEU,Government
234,Lunds University,SWE,Universities
235,University of Cincinnati *,USA,Universities
236,University of Miami Health System,USA,Health
237,Indiana University-Purdue University Indianapolis,USA,Universities
238,University of Birmingham,GBR,Universities
239,Universidad Complutense de Madrid *,ESP,Universities
240,University of Rochester *,USA,Universities
241,Universita degli Studi di Torino,ITA,Universities
242,Cancer Research UK,GBR,Health
243,"Queen Mary, University of London",GBR,Universities
244,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government
245,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
246,Oslo University Hospital,NOR,Health
247,Korea University *,KOR,Universities
248,Cedars-Sinai Medical Center ,USA,Health
249,Universitatsspital Zurich,CHE,Health
250,Johnson & Johnson *,MUL,Companies
251,Leibniz Gemeinschaft *,DEU,Government
252,Universitat Bern *,CHE,Universities
252,Nanjing University *,CHN,Universities
254,Bristol-Myers Squibb Company *,MUL,Companies
254,"Agency for Science, Technology and Research Singapore *",SGP,Government
256,University of Helsinki,FIN,Universities
257,Universitatsklinikum Heidelberg,DEU,Health
258,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government
259,Flanders Interuniversity Institute for Biotechnology *,BEL,Government
260,"University of Illinois, Chicago *",USA,Universities
261,Universidad Autonoma de Madrid *,ESP,Universities
