Global Rank,Institution,Country,Sector
153,Budapest University of Technology and Economics,HUN,Universities
154,"Queen Mary, University of London",GBR,Universities
155,"University of California, San Diego *",USA,Universities
156,Ton Duc Thang University,VNM,Universities
157,ESA Centre for Earth Observation,ITA,Government
158,City University of Hong Kong *,HKG,Universities
159,Institut National de Recherche en Informatique et en Automatique *,FRA,Government
160,Catholic University of Leuven,BEL,Universities
160,Tarbiat Modares University,IRN,Universities
162,New York University *,USA,Universities
163,Hokkaido University *,JPN,Universities
164,U.S. Army *,USA,Government
165,Utah State University *,USA,Universities
166,Princeton University,USA,Universities
167,Chalmers University of Technology *,SWE,Universities
168,Fudan University *,CHN,Universities
169,Brunel University,GBR,Universities
170,Universidad Politecnica de Madrid *,ESP,Universities
171,Tohoku University *,JPN,Universities
172,Shandong University *,CHN,Universities
173,Pohang University of Science and Technology,KOR,Universities
174,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
175,University College London *,GBR,Universities
176,Curtin University *,AUS,Universities
177,University of Virginia *,USA,Universities
178,Panjab University,IND,Universities
179,Arizona State University *,USA,Universities
180,University of Science and Technology of China,CHN,Universities
181,University of Cincinnati *,USA,Universities
182,The Hong Kong University of Science and Technology,HKG,Universities
183,China University of Mining and Technology,CHN,Universities
184,"Boeing Co, USA",USA,Companies
185,General Electric Company *,MUL,Companies
186,Office National d'Etudes et de Recherches Aerospatiales Chatillon *,FRA,Government
187,Universitat Politecnica de Catalunya *,ESP,Universities
188,Seoul National University *,KOR,Universities
189,Duy Tan University,VNM,Universities
190,Lockheed Martin Corp *,USA,Companies
191,Mitsubishi Corp *,MUL,Companies
192,Siemens *,MUL,Companies
193,Universite du Quebec en Quebec *,CAN,Universities
194,Consejo Superior de Investigaciones Cientificas *,ESP,Government
195,Singapore University of Technology and Design,SGP,Universities
196,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
197,Universitat Stuttgart,DEU,Universities
198,"University of Maryland, College Park *",USA,Universities
199,North Carolina State University,USA,Universities
200,Eindhoven University of Technology,NLD,Universities
201,Qingdao University *,CHN,Universities
202,Xiamen University *,CHN,Universities
203,Royal Institute of Technology,SWE,Universities
203,Sorbonne Universite *,FRA,Universities
205,Shanghai University,CHN,Universities
206,Universite Paris-Saclay *,FRA,Universities
207,"University of Minnesota, Twin Cities *",USA,Universities
208,York University,CAN,Universities
209,University of Exeter,GBR,Universities
210,The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences,POL,Government
211,Loughborough University,GBR,Universities
212,University of South Carolina *,USA,Universities
213,Zhejiang University of Technology,CHN,Universities
214,Aalto University,FIN,Universities
214,Sharif University of Technology,IRN,Universities
216,"Sandia National Laboratories, New Mexico",USA,Government
217,Universita degli Studi di Pisa,ITA,Universities
218,University of Central Florida,USA,Universities
219,Southwest University *,CHN,Universities
220,University of Canterbury,NZL,Universities
221,University of Warwick,GBR,Universities
222,University of Science and Technology Beijing,CHN,Universities
223,University of Huddersfield,GBR,Universities
224,Technische Universitat Berlin,DEU,Universities
225,Ryerson University,CAN,Universities
226,The University of Queensland *,AUS,Universities
227,University of Kentucky *,USA,Universities
228,Queen's University Belfast,GBR,Universities
229,University of Calgary,CAN,Universities
230,Hefei University of Technology,CHN,Universities
231,Sichuan University *,CHN,Universities
232,University of Strathclyde *,GBR,Universities
233,Ulsan National Institute of Science and Technology *,KOR,Universities
234,Sungkyunkwan University,KOR,Universities
235,ITMO University,RUS,Universities
236,University of Birmingham,GBR,Universities
237,Beijing University of Technology,CHN,Universities
238,"University of Alabama, Tuscaloosa",USA,Universities
239,Technion - Israel Institute of Technology *,ISR,Universities
240,Nanjing University *,CHN,Universities
241,University of Ljubljana *,SVN,Universities
242,Ecole de Technologie Superieure,CAN,Universities
242,University of Auckland,NZL,Universities
244,Army Engineering University of PLA,CHN,Universities
245,Ecole Polytechnique Federale de Lausanne,CHE,Universities
246,Linkoping University,SWE,Universities
247,Guangzhou University,CHN,Universities
248,China Academy of Launch Vehicle Technology,CHN,Government
249,China Electronics Technology Group Corp *,CHN,Companies
250,"Institute of Automation, Chinese Academy of Sciences",CHN,Government
251,University of Liverpool *,GBR,Universities
252,Universidad de Sevilla *,ESP,Universities
252,Shandong University of Science and Technology,CHN,Universities
254,Kunming University of Science and Technology,CHN,Universities
255,Los Alamos National Laboratory *,USA,Government
256,"Soochow University, Suzhou *",CHN,Universities
257,King Abdullah University of Science and Technology,SAU,Universities
258,Yanshan University,CHN,Universities
259,Xiangtan University,CHN,Universities
260,Polish Academy of Sciences *,POL,Government
261,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
262,Zhengzhou University of Light Industry,CHN,Universities
263,University of Sussex *,GBR,Universities
264,University of Notre Dame,USA,Universities
265,China Aerodynamics Research and Development Center,CHN,Government
266,"University of Maryland, Baltimore",USA,Universities
267,Queen's University,CAN,Universities
268,Southern University of Science and Technology,CHN,Universities
269,Shenyang Jianzhu University,CHN,Universities
270,Aalborg University *,DNK,Universities
271,Northumbria University,GBR,Universities
271,I K Gujral Punjab Technical University,IND,Universities
273,The University of Hong Kong *,HKG,Universities
274,Centre National d'Etudes Spatiales *,FRA,Government
275,University of Bath,GBR,Universities
276,University of Macau,MAC,Universities
277,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
277,"Universite Paul Sabatier, Toulouse III *",FRA,Universities
279,Sejong University,KOR,Universities
280,The Chinese University of Hong Kong *,HKG,Universities
281,"Northeastern University, USA",USA,Universities
282,San Diego State University,USA,Universities
283,National Cheng Kung University,TWN,Universities
284,"General Motors Company, United States",USA,Companies
285,China National Petroleum Corp *,CHN,Companies
286,Jinan University *,CHN,Universities
287,Universidade de Lisboa *,PRT,Universities
288,University of South Florida System *,USA,Universities
288,University of South Florida,USA,Universities
290,Amirkabir University of Technology,IRN,Universities
291,Rensselaer Polytechnic Institute,USA,Universities
292,Beijing University of Chemical Technology,CHN,Universities
293,"Institute of Mechanics, Chinese Academy of Sciences",CHN,Government
294,Laboratoire des Signaux et Systemes,FRA,Government
295,Universidade de Sao Paulo *,BRA,Universities
296,Yonsei University *,KOR,Universities
297,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities
298,Ghent University,BEL,Universities
299,University of Patras,GRC,Universities
300,Universita degli Studi di Padova,ITA,Universities
301,Institut National des Sciences Appliquees de Lyon *,FRA,Universities
302,Air Force Engineering University,CHN,Universities
303,Korea University *,KOR,Universities
304,Nirma University,IND,Universities
305,Michigan State University,USA,Universities
306,Institute of Strength Physics and Materials Science Russian Academy of Sciences,RUS,Government
307,North University of China,CHN,Universities
308,Duke University *,USA,Universities
309,Universita degli Studi di Perugia,ITA,Universities
310,Karlsruher Institut fur Technologie,DEU,Universities
310,University of York,GBR,Universities
312,Fuzhou University,CHN,Universities
313,Aristotle University of Thessaloniki,GRC,Universities
314,Warsaw University of Technology,POL,Universities
315,"University of Tennessee, Knoxville *",USA,Universities
316,Robert Bosch *,MUL,Companies
