Global Rank,Institution,Country,Sector,Best Country Quartile
140,NYU Langone Health,USA,Health,1
141,Universidade do Porto *,PRT,Universities,1
142,University of Michigan Health System,USA,Health,1
143,National Institute of Allergy and Infectious Diseases,USA,Health,1
144,Duke Medicine,USA,Health,1
144,Brown University,USA,Universities,1
146,"University of California, Irvine *",USA,Universities,1
147,Academisch Medisch Centrum,NLD,Health,1
147,Technische Universitat Munchen *,DEU,Universities,1
149,Michigan State University,USA,Universities,1
150,Universitat Autonoma de Barcelona *,ESP,Universities,1
151,United States Geological Survey,USA,Government,1
152,United Nations *,MUL,Non-Profit,1
153,European Commission *,MUL,Government,1
154,Memorial Sloan-Kettering Cancer Center,USA,Health,1
155,Ghent University,BEL,Universities,1
156,"University of Maryland, College Park *",USA,Universities,1
156,Sichuan University *,CHN,Universities,1
158,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities,1
159,Universite Paris-Saclay *,FRA,Universities,1
160,Wageningen University and Research Centre,NLD,Universities,1
161,Leiden University *,NLD,Universities,1
162,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government,1
163,University of Virginia *,USA,Universities,1
164,The University of Hong Kong *,HKG,Universities,1
165,UCLA Health System,USA,Health,1
166,"Newcastle University, Newcastle upon Tyne",GBR,Universities,1
167,University of Bristol *,GBR,Universities,1
168,McMaster University *,CAN,Universities,1
169,Universita degli Studi di Padova,ITA,Universities,1
170,Boston University Medical Campus ,USA,Health,1
171,University of Birmingham,GBR,Universities,1
172,Huazhong University of Science and Technology *,CHN,Universities,1
173,Kyoto University *,JPN,Universities,1
174,"University of Colorado, Boulder *",USA,Universities,1
175,The Chinese University of Hong Kong *,HKG,Universities,1
176,Universita degli Studi di Napoli Federico II,ITA,Universities,1
177,North Carolina State University,USA,Universities,1
178,"University of Colorado, Denver *",USA,Universities,1
179,London School of Hygiene and Tropical Medicine,GBR,Universities,1
180,Adobe Inc *,MUL,Companies,1
181,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit,1
181,University of Rochester *,USA,Universities,1
183,Universitat de Valencia *,ESP,Universities,1
184,King Saud University *,SAU,Universities,1
185,Uppsala University,SWE,Universities,1
186,City University of New York *,USA,Universities,1
187,University of Gothenburg,SWE,Universities,1
188,National Heart Lung and Blood Institute,USA,Health,1
188,University of Georgia,USA,Universities,1
190,"University of Illinois, Chicago *",USA,Universities,1
191,Australian National University,AUS,Universities,1
192,University of Glasgow *,GBR,Universities,1
193,Washington University Medical Center ,USA,Health,1
194,Erasmus Medical Center,NLD,Health,1
195,"Colorado State University, Fort Collins *",USA,Universities,1
196,University of Iowa *,USA,Universities,1
197,National Institute of Environmental Health Sciences,USA,Health,1
198,Environment Canada,CAN,Government,1
199,National Institute of Child Health and Human Development,USA,Health,1
200,Universitat Hamburg *,DEU,Universities,1
201,National Institute of Diabetes and Digestive and Kidney Diseases,USA,Health,1
202,Princeton University,USA,Universities,1
203,Universidade Federal de Minas Gerais,BRA,Universities,1
204,University of Cape Town,ZAF,Universities,1
205,Children's Hospital Boston  *,USA,Health,1
206,National Institute on Aging,USA,Health,1
207,University of Exeter,GBR,Universities,1
208,University of Miami *,USA,Universities,1
209,National Institute of Mental Health,USA,Health,1
210,University of Ottawa,CAN,Universities,1
211,National Institute on Drug Abuse,USA,Health,1
211,National Taiwan University,TWN,Universities,1
213,The University of Sheffield,GBR,Universities,1
214,National Institute of Health Clinical Center,USA,Health,1
215,Oregon State University,USA,Universities,1
216,University of Auckland,NZL,Universities,1
217,Nanyang Technological University *,SGP,Universities,1
217,National Institute of Neurological Disorders and Stroke,USA,Health,1
219,Icahn School of Medicine at Mount Sinai,USA,Universities,1
220,Ludwig-Maximilians Universitat Munchen *,DEU,Universities,1
220,Oregon Health & Science University *,USA,Universities,1
222,Universite PSL *,FRA,Universities,1
222,Ohio State University Wexner Medical Center,USA,Health,1
224,University of Western Ontario,CAN,Universities,1
225,University Medical Center Utrecht,NLD,Health,1
225,Universidade Estadual de Campinas *,BRA,Universities,1
227,Jet Propulsion Laboratory,USA,Government,1
228,US Food and Drug Administration,USA,Government,1
229,"University of Colorado, Anschutz Medical Campus",USA,Universities,1
229,Copenhagen University Hospital,DNK,Health,1
231,International Agency for Research on Cancer,FRA,Health,1
231,National Institute on Alcohol Abuse and Alcoholism,USA,Health,1
233,Deakin University *,AUS,Universities,1
234,University of Waterloo *,CAN,Universities,1
235,Charite - Universitatsmedizin Berlin *,DEU,Health,1
235,University of Athens,GRC,Universities,1
237,Universidad Autonoma de Madrid *,ESP,Universities,1
238,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities,1
239,The University of Adelaide,AUS,Universities,1
240,University of Liverpool *,GBR,Universities,1
241,Universita degli Studi di Torino,ITA,Universities,1
242,Universite de Montreal,CAN,Universities,1
243,"University of Alabama, Birmingham *",USA,Universities,1
244,Yonsei University *,KOR,Universities,1
245,George Washington University *,USA,Universities,1
246,Baylor College of Medicine,USA,Universities,1
247,"University of Maryland, Baltimore",USA,Universities,1
247,Universitat Bern *,CHE,Universities,1
249,University of Cincinnati *,USA,Universities,1
250,National Eye Institute,USA,Health,1
251,National Institute of Arthritis and Musculoskeletal and Skin Diseases,USA,Health,1
252,Smithsonian Institution *,USA,Government,1
252,National Institute of Dental and Craniofacial Research,USA,Health,1
254,Agriculture and Agri-Food Canada,CAN,Government,1
255,Radboud University Nijmegen Medical Centre,NLD,Health,1
256,Central South University *,CHN,Universities,1
257,University of Minnesota Health and Medicine,USA,Universities,1
258,Tel Aviv University,ISR,Universities,1
259,Universidade Federal do Rio de Janeiro *,BRA,Universities,1
260,Universidad de Granada *,ESP,Universities,1
261,Charles University *,CZE,Universities,1
262,Met Office,GBR,Government,1
263,"Adobe Research, USA",USA,Companies,1
264,University of Southampton,GBR,Universities,1
264,"Samsung Research, South Korea",KOR,Companies,1
266,Griffith University,AUS,Universities,1
267,"University of Connecticut, Storrs *",USA,Universities,1
268,University of South Florida,USA,Universities,1
269,Case Western Reserve University,USA,Universities,1
270,Stockholm University *,SWE,Universities,1
270,Georgetown University *,USA,Universities,1
272,University of Pittsburgh Health Sciences,USA,Universities,1
273,Fundacao Oswaldo Cruz *,BRA,Health,1
274,Georgia Institute of Technology *,USA,Universities,1
275,Norwegian University of Science and Technology,NOR,Universities,1
276,University of Rochester Medical Center,USA,Health,1
277,Laval University,CAN,Universities,1
278,"University of Hawaii, Manoa *",USA,Universities,1
279,National Research Council Canada *,CAN,Government,1
280,University of Kansas *,USA,Universities,1
281,California Department of Public Health,USA,Health,1
282,Meteo-France *,FRA,Government,1
283,Virginia Polytechnic Institute and State University *,USA,Universities,1
284,Universitat Heidelberg,DEU,Universities,1
285,University of Kentucky *,USA,Universities,1
286,South Eastern Sydney Local Health District *,AUS,Health,1
286,Frederick National Laboratory for Cancer Research,USA,Health,1
288,Vanderbilt University Medical Center,USA,Health,1
289,London School of Economics and Political Science,GBR,Universities,1
290,"World Health Organization Regional Office for the Eastern Mediterranean, Egypt",EGY,Health,1
291,University of Pittsburgh Medical Center  *,USA,Health,1
291,Shandong University *,CHN,Universities,1
293,Universidade Federal do Rio Grande do Sul,BRA,Universities,1
294,"State University of New York, Buffalo",USA,Universities,1
295,"Queen Mary, University of London",GBR,Universities,1
296,UC Davis Health System,USA,Health,1
297,Children's Hospital of Philadelphia,USA,Health,1
298,Westmead Hospital ,AUS,Health,1
299,Tongji University *,CHN,Universities,1
300,Center for Disease Control and Prevention China,CHN,Health,1
301,University of Utah Health Care,USA,Health,1
301,Lomonosov  Moscow State University,RUS,Universities,1
301,US Environmental Protection Agency,USA,Government,1
304,University of Indonesia,IDN,Universities,1
304,Harvard-Smithsonian Center for Astrophysics,USA,Government,1
306,Junta de Andalucia *,MUL,Government,1
307,The Children's Hospital at Westmead,AUS,Health,1
308,Tufts University,USA,Universities,1
309,California Institute of Technology *,USA,Universities,1
310,Florida State University *,USA,Universities,1
311,Universidad de Chile *,CHL,Universities,1
312,Royal North Shore Hospital,AUS,Health,1
313,"University of Technology, Sydney",AUS,Universities,1
313,University Health Network *,CAN,Health,1
315,World Bank Group *,MUL,Non-Profit,1
316,Osaka University *,JPN,Universities,1
317,Dana Farber Cancer Institute ,USA,Health,1
318,Keio University *,JPN,Universities,1
318,"University of the Witwatersrand, Johannesburg",ZAF,Universities,1
320,Aix-Marseille Universite *,FRA,Universities,1
321,Tohoku University *,JPN,Universities,1
322,University of Warwick,GBR,Universities,1
323,NASA Goddard Institute for Space Studies,USA,Government,1
324,Curtin University *,AUS,Universities,1
325,University Medical Center Groningen,NLD,Health,1
326,Generalitat de Catalunya *,MUL,Government,1
327,Cedars-Sinai Medical Center ,USA,Health,1
328,Freie Universitat Berlin,DEU,Universities,1
328,Cardiff University,GBR,Universities,1
330,Universita degli Studi di Firenze,ITA,Universities,1
331,IBM United States,USA,Companies,1
332,"Baidu Inc, United States",USA,Companies,1
333,IBM Research *,MUL,Companies,1
333,Simon Fraser University,CAN,Universities,1
335,Universidad de Buenos Aires *,ARG,Universities,1
336,King Abdulaziz University *,SAU,Universities,1
337,"University of Massachusetts, Amherst",USA,Universities,1
338,Queensland University of Technology,AUS,Universities,1
339,Pontificia Universidad Catolica de Chile *,CHL,Universities,1
339,University of Texas Southwestern Medical Center ,USA,Universities,1
341,New York State Department of Health *,USA,Health,1
342,Indiana University-Bloomington,USA,Universities,1
343,New South Wales Department of Primary Industries *,AUS,Government,1
344,University College Dublin,IRL,Universities,1
344,Kyushu University *,JPN,Universities,1
346,Xi'an Jiaotong University *,CHN,Universities,1
347,Universidad de Sevilla *,ESP,Universities,1
348,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
349,Iowa State University,USA,Universities,1
350,Clalit Health Services *,ISR,Health,1
351,"Weill Cornell Medicine, Qatar",QAT,Universities,1
352,Instituto Mexicano del Seguro Social *,MEX,Health,1
352,Mahidol University *,THA,Universities,1
354,La Trobe University *,AUS,Universities,1
355,Universite Montpellier *,FRA,Universities,1
356,"University of California, Santa Barbara",USA,Universities,1
357,Wuhan University *,CHN,Universities,1
358,University of Delhi *,IND,Universities,1
359,Universitat Wien,AUT,Universities,1
360,University of South Carolina *,USA,Universities,1
360,Singapore-MIT Alliance,SGP,Government,1
362,Carnegie Mellon University *,USA,Universities,1
363,"University of Nebraska, Lincoln",USA,Universities,1
364,Universidad del Pais Vasco *,ESP,Universities,1
365,University of Pretoria,ZAF,Universities,1
366,Whitehead Institute for Biomedical Research,USA,Health,1
367,Hokkaido University *,JPN,Universities,1
367,Aristotle University of Thessaloniki,GRC,Universities,1
369,"Northeastern University, USA",USA,Universities,1
370,Dalhousie University *,CAN,Universities,1
371,Istituto Clinico Humanitas,ITA,Health,1
372,Clinica Universidad de Navarra,ESP,Health,1
373,Liverpool Hospital ,AUS,Health,1
374,Peking University Health Science Center,CHN,Universities,1
375,Council of Scientific and Industrial Research *,IND,Government,1
376,Trinity College Dublin *,IRL,Universities,1
377,Tehran University of Medical Sciences *,IRN,Universities,1
377,Leiden University Medical Center,NLD,Health,1
379,Temple University *,USA,Universities,1
380,"China Medical University, Taichung *",TWN,Universities,1
380,Macquarie University *,AUS,Universities,1
382,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,BRA,Health,1
383,"United Nations Educational, Scientific and Cultural Organization",MUL,Non-Profit,1
383,University of Central Florida,USA,Universities,1
385,Hospital Clinic de Barcelona,ESP,Health,1
386,Hunter New England Local Health District,AUS,Health,1
387,Universidad Politecnica de Madrid *,ESP,Universities,1
388,"University of Tennessee, Knoxville *",USA,Universities,1
388,Universita Cattolica del Sacro Cuore,ITA,Universities,1
390,Universitat Leipzig *,DEU,Universities,1
390,University of Washington Medicine ,USA,Health,1
392,Nanjing University *,CHN,Universities,1
393,University of New Mexico *,USA,Universities,1
394,Queen's University,CAN,Universities,1
395,Humboldt-Universitat zu Berlin *,DEU,Universities,1
396,University of Southern Denmark,DNK,Universities,1
396,Huawei Technologies Co Ltd *,MUL,Companies,1
398,Institut Catala d'Oncologia *,ESP,Health,1
399,York University,CAN,Universities,1
400,Medizinische Universitat Wien,AUT,Universities,1
401,Smithsonian National Museum of Natural History,USA,Government,1
402,Virginia Commonwealth University *,USA,Universities,1
403,University of York,GBR,Universities,1
404,Instituto Smithsonian de Investigaciones Tropicales,PAN,Government,1
405,Technical University of Denmark,DNK,Universities,1
405,Universidade Federal de Santa Catarina *,BRA,Universities,1
407,University of Belgrade,SRB,Universities,1
408,Universita degli Studi di Pisa,ITA,Universities,1
409,Nationwide Children's Hospital ,USA,Health,1
409,Bureau of Meteorology *,AUS,Government,1
411,Rheinische Friedrich-Wilhelms-Universitat Bonn *,DEU,Universities,1
411,Indiana University-Purdue University Indianapolis,USA,Universities,1
413,Asan Medical Center Seoul *,KOR,Health,1
414,University of Manitoba,CAN,Universities,1
414,Delft University of Technology,NLD,Universities,1
416,Japan Meteorological Agency,JPN,Government,1
416,Technische Universitat Dresden *,DEU,Universities,1
418,SLAC National Accelerator Laboratory,USA,Government,1
419,U.S. Department of Energy *,USA,Government,1
419,Polish Academy of Sciences *,POL,Government,1
421,Cairo University *,EGY,Universities,1
422,Jilin University *,CHN,Universities,1
423,Dartmouth College *,USA,Universities,1
424,University of Houston,USA,Universities,1
425,University of Zagreb,HRV,Universities,1
426,The University of Newcastle,AUS,Universities,1
426,University of Otago,NZL,Universities,1
426,City University of New York Graduate Center,USA,Universities,1
429,All India Institute of Medical Sciences,IND,Universities,1
430,"Orange SA, France",FRA,Companies,1
431,IBM Switzerland,CHE,Companies,1
431,Tulane University *,USA,Universities,1
433,Nepean Hospital,AUS,Health,1
433,Universite Claude Bernard Lyon 1 *,FRA,Universities,1
435,"Washington State University, Pullman *",USA,Universities,1
436,"State University of New York, Stony Brook *",USA,Universities,1
436,Cincinnati Children's Hospital Medical Center,USA,Health,1
438,Smithsonian Conservation Biology Institute,USA,Government,1
439,University of Sussex *,GBR,Universities,1
440,Pfizer *,MUL,Companies,1
441,George Mason University,USA,Universities,1
442,"Louisiana State University, Baton Rouge",USA,Universities,1
442,Smithsonian Environmental Research Center,USA,Government,1
444,University of KwaZulu-Natal *,ZAF,Universities,1
444,Stellenbosch University,ZAF,Universities,1
446,University of Bergen,NOR,Universities,1
447,Hong Kong Polytechnic University,HKG,Universities,1
447,Universidade Nova de Lisboa *,PRT,Universities,1
449,Korea University *,KOR,Universities,1
450,"University of Missouri, Columbia *",USA,Universities,1
451,Universitatsspital Zurich,CHE,Health,1
452,Beth Israel Deaconess Medical Center,USA,Health,1
453,Maastricht University,NLD,Universities,1
453,Jagiellonian University,POL,Universities,1
455,Florida International University,USA,Universities,1
456,Universite de Geneve,CHE,Universities,1
457,Universite Grenoble-Alpes *,FRA,Universities,1
458,Indian Council of Agricultural Research *,IND,Government,1
459,Japan Science & Technology Agency,JPN,Government,1
460,Ministry of Health *,TUR,Health,1
461,Beijing Normal University *,CHN,Universities,1
462,Zhengzhou University *,CHN,Universities,1
463,University of Johannesburg,ZAF,Universities,1
464,University of Science and Technology of China *,CHN,Universities,1
465,University of Tasmania,AUS,Universities,1
466,Northwell Health *,USA,Health,1
467,Drexel University,USA,Universities,1
468,Georgia State University,USA,Universities,1
468,NVIDIA Corp,USA,Companies,1
470,Gadjah Mada University,IDN,Universities,1
470,National Institute for Public Health and the Environment,NLD,Health,1
472,Queen's University Belfast,GBR,Universities,1
473,Food and Agriculture Organization of the United Nations,MUL,Non-Profit,1
474,"Consejo Nacional de Humanidades, Ciencias y Tecnologias *",MEX,Government,1
475,University of Notre Dame,USA,Universities,1
476,American Cancer Society,USA,Health,1
477,Arizona Health Sciences Center University of Arizona Tucson,USA,Health,1
478,Swedish University of Agricultural Sciences,SWE,Universities,1
479,National Human Genome Research Institute,USA,Health,1
480,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities,1
480,Eberhard-Karls-Universitat Tubingen,DEU,Universities,1
482,Westfalische Wilhelms-Universitat Munster *,DEU,Universities,1
483,Kavli Institute for Particle Astrophysics and Cosmology,USA,Non-Profit,1
483,UC San Diego Health System,USA,Health,1
485,Instituto Portugues do Mar e da Atmosfera,PRT,Government,1
486,"University of California, Riverside",USA,Universities,1
487,Museum National d'Histoire Naturelle *,FRA,Government,1
488,University of Miami Health System,USA,Health,1
489,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities,1
489,"Toyota Motor Corp, USA",USA,Companies,1
491,Masaryk University,CZE,Universities,1
491,Ford Motor Company *,MUL,Companies,1
493,University of Victoria,CAN,Universities,1
493,"Ford Motor Co, USA",USA,Companies,1
495,White River Junction VA Medical Center,USA,Health,1
496,Cancer Research UK,GBR,Health,1
497,Royal Melbourne Institute of Technology *,AUS,Universities,1
497,Ankara Training and Research Hospital,TUR,Health,1
499,Universitatsklinikum Hamburg Eppendorf,DEU,Health,1
500,VA Northern California Health Care System,USA,Health,1
501,Karolinska University Hospital,SWE,Health,1
501,State University - Higher School of Economics,RUS,Universities,1
503,Ankara University,TUR,Universities,1
503,Sherbrooke University *,CAN,Universities,1
505,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities,1
506,"University of California, Santa Cruz",USA,Universities,1
507,Centre Hospitalier Universitaire Vaudois ,CHE,Health,1
507,Rede D’Or Sao Luiz *,BRA,Health,1
509,West Virginia University *,USA,Universities,1
510,St Jude Childrens Research Hospital,USA,Health,1
510,Georgetown University Medical Center,USA,Health,1
512,Seattle Children's Hospital *,USA,Health,1
513,Houston Methodist,USA,Health,1
513,National Institute of Standards and Technology *,USA,Government,1
513,"Kaiser Permanente Medical Center, San Francisco",USA,Health,1
516,University of Oklahoma *,USA,Universities,1
517,United Nations International Children's Emergency Fund *,MUL,Non-Profit,1
517,University of Delaware,USA,Universities,1
519,Universitat Basel *,CHE,Universities,1
520,Nagoya University *,JPN,Universities,1
520,Teachers College of Columbia University,USA,Universities,1
522,China Medical University Hospital,TWN,Health,1
523,"University of Minnesota, Duluth",USA,Universities,1
524,Goztepe Training and Research Hospital,TUR,Health,1
524,Waseda University,JPN,Universities,1
526,Guys & Saint Thomas NHS Foundation Trust,GBR,Health,1
527,Albert-Ludwigs-Universitat Freiburg im Breisgau,DEU,Universities,1
528,Marmara University Hospital,TUR,Health,1
528,University of Saskatchewan,CAN,Universities,1
