Global Rank,Institution,Country,Sector,Best Country Quartile
1325,Howard Hughes Medical Institute *,USA,Health,1
1327,Institut de Recherche pour le Developpement France,FRA,Government,1
1328,Laboratoire de Reactions et Genie des Procedes,FRA,Government,1
1328,Instituto de Investigaciones Biomedicas Sols-Morreale,ESP,Government,1
1328,Tokyo Womens Medical University *,JPN,Universities,1
1328,China University of Geosciences,CHN,Universities,1
1332,Novo Nordisk *,MUL,Companies,1
1332,Institut de Chimie et des Materiaux Paris-Est,FRA,Government,1
1334,Instituto Geografico Nacional *,ESP,Government,1
1335,Universidad de la Republica *,URY,Universities,1
1335,Aligarh Muslim University,IND,Universities,1
1335,Universite de Toulouse,FRA,Universities,1
1335,Jawaharlal Nehru University,IND,Universities,1
1339,Institut de Chimie de la Matiere Condensee de Bordeaux,FRA,Government,1
1340,American University,USA,Universities,2
1340,CareGroup Healthcare System *,USA,Health,1
1340,Penn State Milton S. Hershey Medical Center,USA,Health,2
1340,National Tsing Hua University,TWN,Universities,1
1340,Universita degli Studi di Ferrara,ITA,Universities,1
1345,Universitat Rovira i Virgili *,ESP,Universities,1
1345,Beijing Institute of Technology,CHN,Universities,1
1345,Centre Interuniversitaire de Recherche et d'Ingenierie des Materiaux,FRA,Government,1
1348,The Nottingham Trent University,GBR,Universities,2
1349,Oslo Metropolitan University,NOR,Universities,1
1349,University of Arkansas for Medical Sciences,USA,Universities,2
1351,Hokkaido University Hospital,JPN,Health,1
1351,Centro Cientifico Tecnologico Bahia Blanca,ARG,Government,1
1351,El Colegio de Mexico,MEX,Universities,1
1354,Universita degli Studi di Trieste,ITA,Universities,1
1354,Capgemini *,MUL,Companies,2
1354,Aramco *,MUL,Companies,2
1354,Universitatsmedizin der Johannes Gutenberg-Universitat Mainz,DEU,Health,1
1358,Howard University *,USA,Universities,2
1358,Universita degli Studi di Salerno,ITA,Universities,1
1360,University of Patras,GRC,Universities,1
1360,Lampung University,IDN,Universities,1
1360,Centre Hospitalier Universitaire de Bordeaux,FRA,Health,1
1363,Princess Nourah bint Abdul Rahman University *,SAU,Universities,1
1364,Hofstra University *,USA,Universities,2
1364,Universidad de Guanajuato,MEX,Universities,1
1364,"Agency for Science, Technology and Research Singapore *",SGP,Government,1
1367,Islamic University of Indonesia,IDN,Universities,2
1367,National Research Institute for Child Health and Development,JPN,Health,1
1369,Universidade Federal de Juiz de Fora,BRA,Universities,1
1369,Universitatsklinikum Schleswig-Holstein,DEU,Health,1
1369,Ann & Robert H Lurie Children s Hospital,USA,Health,2
1372,Yonsei University Health System,KOR,Health,1
1372,National Center for Geriatrics and Gerontology *,JPN,Health,1
1374,Centro Cientifico Tecnologico Patagonia Norte,ARG,Government,1
1375,Udayana University,IDN,Universities,2
1375,"King Abdulaziz University Hospital, Jeddah",SAU,Health,1
1375,Universidad de Cantabria *,ESP,Universities,1
1378,Instituto de Investigacion en Biodiversidad y Medioambiente,ARG,Government,1
1378,Taibah University,SAU,Universities,1
1378,Conselleria de Sanidad A Coruna,ESP,Health,1
1381,Osaka University Hospital,JPN,Health,1
1382,Max Planck Institut fur Meteorologie,DEU,Government,1
1383,Aga Khan University *,PAK,Universities,1
1383,Ohio University,USA,Universities,2
1385,European Organization for Nuclear Research,CHE,Government,2
1386,Ospedale Niguarda,ITA,Health,1
1386,Allama Iqbal Open University,PAK,Universities,1
1386,Qassim University,SAU,Universities,1
1386,Osaka International Cancer Institute,JPN,Health,1
1386,Pacific Northwest National Laboratory *,USA,Government,1
1391,Centro Cientifico Tecnologico de Santa Fe,ARG,Government,1
1391,BeiHang University *,CHN,Universities,1
1391,Murdoch Children's Research Institute,AUS,Health,1
1394,Mackay Memorial Hospital,TWN,Health,1
1394,Azienda Ospedaliero Universitaria di Bologna - Policlinico di Sant'Orsola Malpighi,ITA,Health,1
1394,City of Hope,USA,Health,1
1397,Ochsner Healthcare *,USA,Health,2
1397,University of Electronic Science and Technology of China *,CHN,Universities,1
1397,Bristol-Myers Squibb Company *,MUL,Companies,1
1397,University of Ulster,GBR,Universities,2
1397,Universidad de Extremadura *,ESP,Universities,1
1397,Bulgarian Academy of Sciences *,BGR,Government,1
1403,Nippon Medical School *,JPN,Universities,1
1403,Universidade Federal de Lavras,BRA,Universities,1
1403,Kwame Nkrumah University of Science and Technology,GHA,Universities,1
1403,University of Northern Colorado *,USA,Universities,2
1407,"University of North Carolina, Charlotte",USA,Universities,2
1408,University of the Western Cape,ZAF,Universities,2
1409,Repsol *,MUL,Companies,2
1409,Amrita University,IND,Universities,1
1409,Ecole Normale Superieure de Paris *,FRA,Universities,1
1409,Prince of Songkla University,THA,Universities,1
1409,AGH University of Science and Technology,POL,Universities,1
1414,Royal Perth Hospital ,AUS,Health,2
1414,Oak Ridge National Laboratory,USA,Government,1
1414,Kazan Federal University,RUS,Universities,1
1414,German Cancer Consortium,DEU,Government,1
1418,Universitat Bielefeld,DEU,Universities,1
1418,University of the West of England *,GBR,Universities,2
1418,Benemerita Universidad Autonoma de Puebla *,MEX,Universities,1
1421,Children's Medical Center Dallas,USA,Health,2
1421,Cukurova University,TUR,Universities,1
1421,New York City Health and Hospitals Corp *,USA,Health,2
1424,Rochester Institute of Technology *,USA,Universities,2
1424,"University of Missouri, Kansas City",USA,Universities,2
1426,Centro Cientifico Tecnologico Mendoza,ARG,Government,1
1426,NHS Greater Glasgow and Clyde,GBR,Health,2
1428,Old Dominion University,USA,Universities,2
1428,University of Limerick,IRL,Universities,1
1428,Meiji University,JPN,Universities,1
1428,Tygerberg Hospital,ZAF,Health,2
1428,Sakarya University *,TUR,Universities,1
1433,Centro Nacional Patagonico,ARG,Government,2
1433,Instituto Aragones de Ciencias de la Salud,ESP,Health,1
1435,Missouri Botanical Garden,USA,Government,2
1435,Centro Cientifico Tecnologico NOA Sur,ARG,Government,1
1435,Universitas Negeri Semarang,IDN,Universities,1
1435,University of Canterbury,NZL,Universities,1
1435,Istituto Nazionale di Fisica Nucleare *,ITA,Government,1
1440,Southern Medical University *,CHN,Universities,1
1441, Centre Hospitalier de l'Universite de Montreal,CAN,Health,2
1442,College of William and Mary,USA,Universities,2
1442,Brunel University,GBR,Universities,2
1444,Universita Politecnica delle Marche,ITA,Universities,1
1445,Universidade Federal de Jatai,BRA,Universities,1
1446,Universidad EAFIT,COL,Universities,1
1447,Science and Technology Facilities Council *,GBR,Government,1
1447,Kasetsart University,THA,Universities,1
1447,"Fondazione IRCCS Ospedale Maggiore Policlinico, Mangiagalli e Regina Elena",ITA,Health,1
1450,Centro Cientifico Tecnologico San Luis,ARG,Government,2
1450,University of Canberra,AUS,Universities,2
1452,Sahlgrenska University Hospital,SWE,Health,2
1453,Istituto Auxologico Italiano IRCCS,ITA,Health,1
1453,Nestle *,MUL,Companies,2
1453,Universidad Tecnologica Nacional *,ARG,Universities,2
1456,Fordham University,USA,Universities,2
1456,"National University of Science and Technology, Islamabad",PAK,Universities,1
1456,North Dakota State University,USA,Universities,2
1456,Indian Institute of Pulses Research,IND,Government,1
1460,Medizinische Universitat Graz *,AUT,Universities,1
1460,"Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences",CHN,Government,1
1460,Victoria University,AUS,Universities,2
1460,Koc University,TUR,Universities,1
1464,University of Szeged,HUN,Universities,1
1464,Instituto de Biologia Molecular y Celular de Plantas Eduardo Primo Yufera,ESP,Government,1
1464,Indian Agricultural Statistics Research Institute,IND,Government,1
1464,Universidade Federal de Vicosa,BRA,Universities,1
1468,Advanced Institutes of Convergence Technology,KOR,Government,1
1468,Universidad Anahuac,MEX,Universities,1
1468,Universidade Federal de Uberlandia,BRA,Universities,1
1468,Jefferson Health System,USA,Health,2
1468,Juntendo University Urayasu Hospital,JPN,Health,1
1468,University of Lucknow,IND,Universities,1
1468,Indian Institute of Soil Sciences,IND,Government,1
1468,Hospital Universitario Fundacion Jimenez Diaz,ESP,Health,1
1468,Australian Catholic University,AUS,Universities,2
1477,Universidad Nacional del Litoral *,ARG,Universities,1
1477,Universidad Nacional de Rosario *,ARG,Universities,1
1479,Vilnius University,LTU,Universities,1
1480,Parc de Salut Mar de Barcelona *,ESP,Health,1
1480,The University of Hull,GBR,Universities,2
1482,Chandigarh University,IND,Universities,1
1482,Panjab University,IND,Universities,1
1484,Chang Gung University,TWN,Universities,1
1484,Negeri Malang University,IDN,Universities,2
1484,Universidad Cesar Vallejo,PER,Universities,1
1484,Centro Cientifico Tecnologico Nordeste,ARG,Government,2
1484,City University London,GBR,Universities,2
1489,Indian Grassland and Fodder Research Institute,IND,Government,1
1489,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government,1
1491,Institut Curie,FRA,Health,1
1491,Max Planck Institut fur Bildungsforschung,DEU,Government,1
1493,Universitas Atma Jaya Yogyakarta,IDN,Universities,2
1493,Central Potato Research Institute,IND,Government,1
1493,Tata Memorial Centre,IND,Government,1
1496,Max Planck Institut fur Demografische Forschung,DEU,Government,1
1496,Max Planck Institut fur Multidisziplinare Naturwissenschaften,DEU,Government,1
1496,"University of Maryland, Baltimore County",USA,Universities,2
1496,Honda Motor Co Ltd *,MUL,Companies,2
1496,University of Waikato,NZL,Universities,1
1496,"University of the West Indies, Mona Campus *",JAM,Universities,1
1502,Institut Zur Zukunft der Arbeit,DEU,Non-Profit,1
1502,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,USA,Universities,2
1502,Khon Kaen University,THA,Universities,1
1502,Hyogo College of Medicine *,JPN,Universities,1
1502,The Leeds Teaching Hospitals NHS Trust,GBR,Health,2
1507,University of Wyoming,USA,Universities,2
1507,National Cerebral and Cardiovascular Center,JPN,Health,1
1507,University of Mississippi Medical Center,USA,Universities,2
1507,Necmettin Erbakan University,TUR,Universities,1
1511,Central Plantation Crops Research Institute,IND,Government,1
1511,Western Michigan University,USA,Universities,2
1511,Central Institute of Research on Cotton Technology,IND,Government,1
1514,"University of Technology, Malaysia",MYS,Universities,1
1515,Juntendo University Shizuoka Hospital,JPN,Health,1
1515,Royal Women's Hospital ,AUS,Health,2
1517,Kyungpook National University *,KOR,Universities,1
1517,Universitat Stuttgart,DEU,Universities,1
1519,Synopsys Inc *,MUL,Companies,2
1519,Newcastle upon Tyne Hospitals NHS Foundation Trust,GBR,Health,2
1521,Alfred Health,AUS,Health,2
1521,Universitatsklinikum Leipzig,DEU,Health,1
1523,Kansai Rosai Hospital,JPN,Health,1
1523,Adnan Menderes University,TUR,Universities,1
1523,Universita degli Studi di Cagliari,ITA,Universities,1
1523,VCU Medical Center,USA,Health,2
1527,Jiangsu University *,CHN,Universities,1
1528,Chuo University,JPN,Universities,1
1529,Liverpool John Moores University,GBR,Universities,2
1529,University of Rajasthan,IND,Universities,1
1531,Hong Kong Baptist University,HKG,Universities,2
1531,Max Planck Institut fur Kognitions und Neurowissenschaften,DEU,Government,1
1531,Universidad de Cadiz *,ESP,Universities,1
1531,Los Alamos National Laboratory *,USA,Government,1
1531,University of Tennessee Health Science Center,USA,Health,2
1536,Doshisha University,JPN,Universities,1
1536,The Russian Presidential Academy of National Economy and Public Administration,RUS,Universities,1
1538,Universitat des Saarlandes *,DEU,Universities,1
1538,Bar-Ilan University,ISR,Universities,1
1540,Max Planck Institut fur Menschheitsgeschichte,DEU,Government,1
1540,Ghent University Hospital,BEL,Health,2
1542,State University of New York at Binghamton,USA,Universities,2
1542,University of Denver,USA,Universities,2
1542,Kanazawa University *,JPN,Universities,1
1542,Janssen,MUL,Companies,1
1542,Sriwijaya University,IDN,Universities,2
1542,Orebro Universitet,SWE,Universities,2
1548,Chung-Ang University *,KOR,Universities,1
1548,Universita Commerciale Luigi Bocconi,ITA,Universities,1
1550,University of Colorado Hospital,USA,Health,2
1550,University of Ulsan *,KOR,Universities,1
1550,University of Health Sciences,TUR,Universities,1
1550,Miami University of Ohio,USA,Universities,2
1550,Northwestern Polytechnical University,CHN,Universities,1
1550,Toho University Sakura Medical Center,JPN,Health,1
1550,Ecole Normale Superieure de Lyon *,FRA,Universities,1
1550,Toho University Ohashi Medical Center,JPN,Health,1
1558,University of Haifa,ISR,Universities,1
1558,Royal Melbourne Hospital,AUS,Health,1
1558,Addis Ababa University,ETH,Universities,1
1558,Orange SA *,MUL,Companies,1
1558,Public Health Wales,GBR,Health,1
1558,Budapest University of Technology and Economics,HUN,Universities,1
1558,Assistance Publique Hopitaux de Marseille *,FRA,Health,1
1565,"California State University, Northridge",USA,Universities,2
1565,Taichung Veterans General Hospital,TWN,Health,1
1565,National Institute of Information and Communications Technology,JPN,Government,1
1565,Nagasaki University *,JPN,Universities,1
1565,University of Novi Sad,SRB,Universities,1
1565,Osaka Rosai Hospital,JPN,Health,1
1565,Max Planck Institut fur Polymerforschung,DEU,Government,1
1572,Birla Institute of Technology and Science *,IND,Universities,1
1572,Swansea Bay University Health Board,GBR,Health,2
1572,National Research and Innovation Agency *,IDN,Government,1
1575,Centro Universitario de Maringa,BRA,Universities,1
1575,Karadeniz Technical University,TUR,Universities,1
1575,National Institute for Plant Biotechnology,IND,Government,1
1575,Karl Franzens Universitat Graz *,AUT,Universities,1
1579,Universite de Lyon,FRA,Universities,1
1579,Tata Group *,MUL,Companies,2
1579,Max Planck Institut fur Psychiatrie,DEU,Government,1
1579,Dublin City University,IRL,Universities,1
1583,Kumamoto University *,JPN,Universities,1
1583,Ewha Womans University *,KOR,Universities,1
1583,Chi Mei Medical Center,TWN,Health,1
1586,University of Calcutta,IND,Universities,1
1586,Argonne National Laboratory *,USA,Government,1
1586,University of Huddersfield,GBR,Universities,2
1586,Max Planck Institut fur Biochemie,DEU,Government,1
1590,UnitedHealth Group *,MUL,Companies,2
1590,Universidade de Vigo *,ESP,Universities,1
1590,Iran University of Medical Sciences *,IRN,Universities,1
1590,National Institute of Public Health of Japan,JPN,Health,1
1594,De Montfort University,GBR,Universities,2
1594,Lanzhou University *,CHN,Universities,1
1594,Universitat Rostock *,DEU,Universities,1
1594,Guru Gobind Singh Indraprastha University,IND,Universities,1
1594,Osmania University *,IND,Universities,1
1599,Max Planck Institut fur Extraterrestrische Physik,DEU,Government,1
1599,Max Planck Institut fur Kolloid und Grenzflachenforschung,DEU,Government,1
1599,Hospital Universitario de Guadalajara,ESP,Health,1
1602,Osaka Metropolitan University *,JPN,Universities,1
1602,Max Planck Institut fur Neurobiologie,DEU,Government,1
1604,Universitat fur Bodenkultur Wien *,AUT,Universities,1
1604,Ecole Nationale du Genie de l'Eau et de l'Environnement de Strasbourg *,FRA,Universities,1
1604,Jadavpur University,IND,Universities,1
1604,University of Debrecen,HUN,Universities,1
1608,"Saudi Arabian Oil Co, USA",USA,Companies,1
1608,Lamar University,USA,Universities,2
1608,Tokyo Medical University *,JPN,Universities,1
1611,Max Planck Institut fur Molekulare Pflanzenphysiologie,DEU,Government,1
1611,Pamukkale University,TUR,Universities,1
1613,Bill and Melinda Gates Foundation,USA,Non-Profit,1
1613,Technische Universitat Dortmund *,DEU,Universities,1
1613,Max Planck Institut fur Intelligente Systeme,DEU,Government,1
1616,Yokohama City University *,JPN,Universities,1
1616,University of Toledo *,USA,Universities,2
1616,University of Stirling,GBR,Universities,2
1619,Max Planck Institut fur Festkorperforschung,DEU,Government,2
1620,McLean Hospital,USA,Health,2
1620,"University of Alaska, Fairbanks",USA,Universities,2
1622,Tokai University *,JPN,Universities,1
1622,Sheba Medical Center,ISR,Health,1
1622,"Indian Institute of Technology, Roorkee",IND,Universities,1
1625,Universitatsklinikum Erlangen,DEU,Health,2
1625,Max Planck Institut fur Molekulare Genetik,DEU,Government,1
1625,Howard University Health Sciences,USA,Health,2
1625,University of Maryland Medical Center,USA,Health,2
1625,Catholic University of Korea *,KOR,Universities,1
1630,Universidad Francisco de Vitoria *,ESP,Universities,1
1630,Max Planck Institut fur Physik Komplexer Systeme,DEU,Government,2
1630,"University of Montana, Missoula",USA,Universities,2
1633,Max Planck Institut fur Radioastronomie,DEU,Government,1
1633,Monash Health *,AUS,Health,2
1633,Kocaeli University *,TUR,Universities,1
1633,Gottfried Wilhelm Leibniz Universitat Hannover,DEU,Universities,2
1633,Universita degli Studi di Brescia,ITA,Universities,1
1638,Fritz Haber Institut Max Planck Gesellschaft,DEU,Government,2
1638,Max Planck Institut fur Kernphysik,DEU,Government,2
1638,STMicroelectronics *,MUL,Companies,2
1638,University of Gdansk,POL,Universities,1
1642,Max Planck Institut fur Informatik,DEU,Government,1
1642,Universitas Muhammadiyah Yogyakarta,IDN,Universities,2
1642,Comenius University in Bratislava,SVK,Universities,1
1645,Max Planck Institut fur Physik,DEU,Government,1
1645,Max Planck Institut fur Plasmaphysik,DEU,Government,2
1645,Kielce University of Technology,POL,Universities,1
1645,Northwest A and F University,CHN,Universities,1
1645,Universita degli Studi Ca Foscari di Venezia,ITA,Universities,1
1650,Max Planck Institut fur Chemische Physik Fester Stoffe,DEU,Government,2
1650,National Technical University of Athens,GRC,Universities,1
1650,Natural Resources Institute Finland,FIN,Government,2
1653,Tencent Holdings Ltd *,MUL,Companies,1
1653,Max Planck Institut fur Astrophysik,DEU,Government,1
1653,Universitat Jaume I *,ESP,Universities,1
1653,Max Planck Institut fur Sonnensystemforschung,DEU,Government,2
1653,University of Mumbai,IND,Universities,1
1653,Max Planck Institut fur Evolutionsbiologie,DEU,Government,2
1653,Bhabha Atomic Research Centre,IND,Government,1
1660,Max Planck Institute fur Gravitationsphysik,DEU,Government,1
1660,Universidade Paulista,BRA,Universities,1
1660,Universitatsklinikum Carl Gustav Carus Dresden,DEU,Health,2
1663,Colorado School of Public Health,USA,Universities,2
1663,Max Planck Institut fur Dynamik und Selbstorganisation,DEU,Government,2
1663,Central Queensland University,AUS,Universities,2
1666,Max Planck Institut fur Chemische Energiekonversion,DEU,Government,2
1666,Max Planck UCL Centre for Computational Psychiatry and Ageing Research,DEU,Government,1
1666,Max Planck Institut fur Kohlenforschung,DEU,Government,1
1666,Chaudhary Charan Singh University,IND,Universities,1
1670,United States Military Academy at West Point,USA,Universities,2
1670,New Mexico State University,USA,Universities,2
1670,Sony Corp *,MUL,Companies,1
1673,Max Planck Institut fur Pflanzenzuchtungsforschung,DEU,Government,1
1673,Universitatsklinikum Essen,DEU,Health,1
1673,Max Planck Institut fur Dynamik Komplexer Technischer Systeme,DEU,Government,2
1673,Bangor University,GBR,Universities,2
1673,Chung-Ho Memorial Hospital,TWN,Health,1
1678,Shinshu University *,JPN,Universities,1
1678,Max Planck Institut fur Quantenoptik,DEU,Government,1
1678,Technische Universitat Braunschweig,DEU,Universities,2
1678,The First Affiliated Hospital of Zhejiang University,CHN,Health,1
1678,Weizmann Institute of Science,ISR,Universities,1
1683,Alexandria University *,EGY,Universities,1
1683,Southern Methodist University,USA,Universities,2
1683,Technische Universitat Darmstadt,DEU,Universities,2
1683,Max Planck Institut fur Biologische Kybernetik,DEU,Government,2
1683,Royal Holloway - University of London,GBR,Universities,2
1688,"Nova Southeastern University, Estados Unidos",USA,Universities,2
1689,Max Planck Institut fur die Physik des Lichts,DEU,Government,1
1689,Hasanuddin University,IDN,Universities,1
1689,Ehime Prefectural Central Hospital,JPN,Health,1
1692,Max Planck Institut fur Mathematik in den Naturwissenschaften,DEU,Government,2
1692,Japanese Foundation for Cancer Research,JPN,Health,1
1692,Odense University Hospital,DNK,Health,2
1692,"AgroParisTech, Institut des Sciences et Industries du Vivant et de l'Environnement",FRA,Universities,1
1692,Toyo University,JPN,Universities,1
1697,Woods Hole Oceanographic Institution,USA,Non-Profit,2
1697,King Abdullah University of Science and Technology,SAU,Universities,1
1697,Royal Free London NHS Foundation Trust,GBR,Health,1
1700,Children's Healthcare of Atlanta ,USA,Health,2
1700,Universidad de Almeria *,ESP,Universities,2
1700,Royal Darwin Hospital,AUS,Health,2
1700,Forca Aerea Brasileira *,BRA,Government,1
1700,Universitas Muhammadiyah Surakarta,IDN,Universities,2
1700,Auckland University of Technology,NZL,Universities,1
1706,Poznan University of Medical Sciences,POL,Universities,1
1706,Max Planck Institut fur Struktur und Dynamik der Materie,DEU,Government,1
1706,Ministry of Health,ISR,Health,1
1709,Ernst-Moritz-Arndt-Universitat Greifswald *,DEU,Universities,2
1709,Universidade Estadual de Londrina,BRA,Universities,1
1709,"California Polytechnic State University, San Luis Obispo",USA,Universities,2
1712,Max Planck Institut fur Softwaresysteme,DEU,Government,2
1712,"California State University, Long Beach",USA,Universities,2
1714,Comunidad Autonoma de la Region de Murcia *,ESP,Government,2
1714,Palacky University *,CZE,Universities,1
1714,Universitatsklinikum Wurzburg,DEU,Health,2
1714,Medizinische Universitat Innsbruck *,AUT,Universities,1
1718,Max Planck Institut fur Empirische Asthetik,DEU,Government,2
1718,Max Planck Institut fur Wissenschaftsgeschichte,DEU,Government,2
1718,Max Planck Institut fur Mikrostrukturphysik,DEU,Government,2
1721,Kitasato University *,JPN,Universities,1
1722,University of Kerala,IND,Universities,1
1723,British Geological Survey,GBR,Government,2
1723,Universidade Federal de Mato Grosso do Sul,BRA,Universities,1
1723,Universitatsspital Basel *,CHE,Health,2
1723,Universitas Sumatera Utara,IDN,Universities,1
1723,Max Planck Institut fur Mathematik,DEU,Government,2
1728,Augusta University *,USA,Universities,2
1728,Universitas Muhammadiyah Malang,IDN,Universities,2
1728,Warsaw University of Technology,POL,Universities,1
1728,Center for Food Safety and Applied Nutrition,USA,Government,2
1728,University of the Sunshine Coast,AUS,Universities,2
1733,Istanbul Medipol University *,TUR,Universities,1
1733,De La Salle University,PHL,Universities,1
1733,Bank of Italy,ITA,Government,1
1733,Universita degli Studi Gabriele d'Annunzio di Chieti e Pescara,ITA,Universities,1
1737,BASF Group *,MUL,Companies,2
1737,Universita degli Studi Roma Tre,ITA,Universities,1
1737,Centre Hospitalier Regional Universitaire de Lille *,FRA,Health,1
1737,Niigata University *,JPN,Universities,1
1741,Tokyo University of Science,JPN,Universities,1
1741,Universities Space Research Association,USA,Non-Profit,2
1741,Universitat Hohenheim,DEU,Universities,2
1744,Institut d'Etudes Politiques de Paris-Sciences Po,FRA,Universities,1
1744,Santa Clara University,USA,Universities,2
1744,National Agriculture and Food Research Organization,JPN,Government,1
1747,James Madison University,USA,Universities,2
1747,Universidad de La Sabana *,COL,Universities,1
1749,"University of Alaska, Anchorage",USA,Universities,2
1749,National Chung Hsing University,TWN,Universities,1
1749,Cranfield University,GBR,Universities,1
1749,European Centre for Disease Prevention and Control,SWE,Health,1
1753,University of Calicut,IND,Universities,1
1753,Rhodes University,ZAF,Universities,2
1753,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado *,MEX,Health,1
1756,University of North Carolina Health Care,USA,Health,1
1756,"University of North Carolina, Greensboro",USA,Universities,2
1756,"World Health Organization, Switzerland",CHE,Health,1
1756,Universitas Negeri Makassar,IDN,Universities,2
1760,University of Crete,GRC,Universities,1
1760,Universitat Bayreuth,DEU,Universities,2
1760,Charles Darwin University *,AUS,Universities,2
1760,University of Lodz,POL,Universities,1
1764,Institut Terre et Environnement de Strasbourg,FRA,Government,1
1765,Tamil Nadu Agricultural University,IND,Universities,1
1765,Makerere University *,UGA,Universities,1
1765,AbbVie *,MUL,Companies,2
1765,Instituto Butantan,BRA,Health,1
1769,Heriot-Watt University *,MUL,Universities,2
1769,Hospital Edgardo Rebagliati Martins,PER,Health,1
1769,Istituto di Fisiologia Clinica,ITA,Government,1
1769,International Institute of Tropical Agriculture,MUL,Non-Profit,2
1769,Universidad del Rosario *,COL,Universities,1
1774,Universidad Miguel Hernandez *,ESP,Universities,2
1774,British Columbia Cancer Agency *,CAN,Health,1
1774,Ehime University *,JPN,Universities,2
1774,National Institute of Water & Atmospheric Research,NZL,Government,2
1774,Universidade Cruzeiro do Sul,BRA,Universities,1
1774,The Kansai Electric Power Company,JPN,Companies,2
1774,University of Greenwich,GBR,Universities,2
1781,Boise State University,USA,Universities,2
1781,"RTI International, United States",USA,Companies,2
1781,Gujarat Technological University,IND,Universities,1
1784,"University of Massachusetts, Boston",USA,Universities,2
1784,"Institut de Chimie et Procedes pour l’Energie, l’Environnement et la Sante",FRA,Government,1
1784,Pasteur Network *,MUL,Health,1
1787,Keele University,GBR,Universities,2
1787,The Royal Marsden NHS Foundation Trust,GBR,Health,1
1787,Alibaba Group *,MUL,Companies,1
1790,Instituto Nacional de Salud Publica *,MEX,Health,1
1790,University of Southern California Health Sciences Campus,USA,Health,1
1790,Universitas Ahmad Dahlan Yogyakarta,IDN,Universities,2
1793,Birmingham City University,GBR,Universities,2
1793,University of Regina,CAN,Universities,2
1793,Institut de Chimie de Strasbourg,FRA,Government,1
1793,Peoples'Friendship University of Russia,RUS,Universities,1
1797,Babes-Bolyai University,ROU,Universities,1
1797,Nagoya City University *,JPN,Universities,1
1797,Instituto Tecnologico de Tijuana,MEX,Universities,1
1797,Forestry and Forest Products Research Institute,JPN,Government,2
1797,Universite Francois Rabelais de Tours *,FRA,Universities,1
1797,Nottingham University Hospitals NHS Trust,GBR,Health,2
1797,Institut de Science et d'Ingenierie Supramoleculaires,FRA,Government,1
1804,Lehigh University,USA,Universities,2
1804,Instituto Tecnologico de Celaya,MEX,Universities,1
1804,University of Brighton *,GBR,Universities,2
1804,Canon Inc *,MUL,Companies,1
1808,DePaul University,USA,Universities,2
1809,University of Memphis,USA,Universities,2
1810,Centro Nacional de Investigacion y Desarrollo Tecnologico,MEX,Universities,1
1810,"University of New England, Australia",AUS,Universities,2
1810,Centro de Investigacion y de Estudios Avanzados del IPN *,MEX,Universities,1
1810,NHS Lothian,GBR,Health,2
1814,Ocean University of China,CHN,Universities,1
1814,Higher Education Commission of Pakistan *,PAK,Non-Profit,1
1816,Observatoire Astronomique de Strasbourg,FRA,Government,1
1816,Agencia Nacional de Investigacion y Desarrollo de Chile *,CHL,Government,1
1816,Universitas Negeri Surabaya,IDN,Universities,2
1819,Illinois Institute of Technology,USA,Universities,1
1819,Istituto di Scienze Marine,ITA,Government,1
1819,"University of California, Irvine Healthcare",USA,Health,2
1822,University of Wroclaw,POL,Universities,1
1822,Instituto de Salud Global de Barcelona,ESP,Health,1
1822,Universidad Pablo de Olavide *,ESP,Universities,2
1822,"University of California, Merced",USA,Universities,1
1822,Wilfrid Laurier University *,CAN,Universities,2
1827,"Suleyman Demirel University, Isparta",TUR,Universities,1
1827,Takeda Pharmaceuticals International Inc *,MUL,Companies,2
1827,King Faisal University,SAU,Universities,1
1827,University at Texas Rio Grande Valley,USA,Universities,2
1827,Royal College of Surgeons *,IRL,Universities,2
1832,National Sun Yat-sen University,TWN,Universities,1
1832,Kings College Hospital NHS Foundation Trust,GBR,Health,2
1832,University of Madras,IND,Universities,1
1835,Roswell Park Cancer Institute,USA,Health,1
1835,University Hospital Antwerp,BEL,Health,1
1835,"Universidad Andres Bello, Chile *",CHL,Universities,1
1835,Institut de Recherche Mathematique Avancee,FRA,Government,1
1835,Middlesex University *,GBR,Universities,2
1840,Institut National de Recherche en Informatique et en Automatique *,FRA,Government,1
1840,Universitatsklinikum Ulm,DEU,Health,1
1840,Ericsson *,MUL,Companies,1
1843,Kennesaw State University,USA,Universities,2
1843,Universitatsklinikum Bonn,DEU,Health,2
1843,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government,1
1846,Indian Institute of Technology Guwahati,IND,Universities,1
1846,NMIMS University,IND,Universities,1
1846,Czech Technical University in Prague,CZE,Universities,1
1849,"Institute of Biomedical Science, Academia Sinica",TWN,Government,1
1849,Instituto Presbiteriano Mackenzie *,BRA,Non-Profit,1
1851,Universidade da Coruna,ESP,Universities,2
1851,Belfast Health and Social Care Trust,GBR,Health,2
1851,San Francisco State University,USA,Universities,2
1851,Universite de Bourgogne *,FRA,Universities,1
1851,Dartmouth-Hitchcock Health Care System,USA,Health,2
1851,"Universite Paul Valery, Montpellier III *",FRA,Universities,1
